PRODUCTO;MARCA;CODIGO;DESCRIPCION;EQUIVALENCIAS;APLICACIÓN;INFO;imagen
DESTELLADOR;;;PROBAR DESTELLADOR 3T CON B - E - L;;;;deste1.jpg
DESTELLADOR;;;PROBAR DESTELLADOR 4T;;;;deste2.jpg
RELAY;;;ALARMA CON RELAY PARA MOTO;;;;alarma1.jpg
BUJIA ENCENDIDO;BOSCH;242135563;BUJIA DE ENCENDIDO YR 7 KII 33 T FIAT PALO CRONOS TORO 1.8;;;BN23;35563.jpg
BUJIA ENCENDIDO;BOSCH;242235668;BUJIA DE ENCENDIDO +7 - SUPER PLUS FR 7 LDC+ FIAT E-TORQE ETIOS;BKUR6ET10 BKUR6ET BKR6EKC;;;35668.png
ROTOR DE DISTRIBUIDOR;BOSCH;1234332216;FIAT UNO;;ROTOR DE DISTRIBUIDOR;;1234332216.jpg
ROTOR DE DISTRIBUIDOR;BOSCH;1234332300;VW FOX 1.3 AUDI;;ROTOR DE DISTRIBUIDOR;;1234332300.jpg
TAPA DE DISTRIBUIDOR;BOSCH;9231086370;TAPA DE DISTRIBUIDOR;;;;9231086370.jpg
ROTOR DE DISTRIBUIDOR;BOSCH;9231087677;VW FORD AUDI BMW M. BENZ OPEL SEAT VOLVO ALFA;;BOSCH;;9231087677.jpg
Bujia de encendido;NGK; -  -  - TR55IX;FORD Mondeo 2.5 24v V6  Duratec-VE SFI (LCBD);;;;None.jpg
Bujia de encendido;NGK; -  -  - TR55IX;FORD Mondeo 2.5 24v V6  Duratec-VE SFI (LCBD);;;;None.jpg
Bujia de encendido;NGK; -  - BKR5EGP - BKR5EIX;CHERY QQ 1.1 16v / DOHC ( 68 cv );;;;None.jpg
Bujia de encendido;NGK; -  - BKR5EGP - BKR5EIX;CHERY QQ 1.1 16v / DOHC ( 68 cv );;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;CHEVROLET (GM) Blazer 4.3 V6 (W / T);;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;FORD F-150 4.6 V8;;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;FORD F-150 5.4  V8;;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;CHEVROLET (GM) Blazer 4.3 V6 (W / T);;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;FORD F-150 4.6 V8 -;;;;None.jpg
Bujia de encendido;NGK; -  - TR55GP - ;FORD F-150 5.4  V8;;;;None.jpg
Bujia de encendido;NGK; - BCPR6EY-11 - BCPR6EGP / BKR6EGP - BKR6EIX-11;TOYOTA Carina II 2.0 (3S-F);;;;None.jpg
Bujia de encendido;NGK; - BCPR6EY-11 - BCPR6EGP / BKR6EGP - BKR6EIX-11;TOYOTA Carina II 2.0 (3S-F);;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Dodge Ram 5.9  V8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Jeep Cherokee 2.5 V6 / 4.0 L-6;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Jeep Cherokee/ Gran Cherokee 5.2 V8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CITROËN ZX 1.9i 8v (XU9JA);;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;DAEWOO Heaven 1.5L DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Palio Palio 1.4 8v / Fire ( 82 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Palio HLX Palio Weekend 1.4 8v / Fire ( 82 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Panda Punto 1.4 8v / Fire;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;RENAULT Twingo II ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Dodge Ram 5.9  V8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Jeep Cherokee 2.5 V6 / 4.0 L-6;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CHRYSLER (DODGE / JEEP) Jeep Cherokee/ Gran Cherokee 5.2 V8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;CITROËN ZX 1.9i 8v (XU9JA);;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;DAEWOO Heaven 1.5L DOHC;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Palio Palio 1.4 8v / Fire ( 82 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Palio HLX Palio Weekend 1.4 8v / Fire ( 82 cv );;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;Panda Punto 1.4 8v / Fire;;;;None.jpg
Bujia de encendido;NGK; - BKR5E - BKR5EGP - BKR5EIX;RENAULT Twingo II ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;CHRYSLER (DODGE / JEEP) Caravan 2.4;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;CHRYSLER (DODGE / JEEP) Dakota 2.5L / 3.9 V6 / Ram;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;Rocky F85/V Sirion 1.0;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Accent 1.3 / 1.5 12v SOHC GL / GLS;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Scoupe 1.5 (Excepto G4DR);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Tiburón 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación Lantis 1.6 (Z6D);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación Miata ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación MX-3 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación MX-5 1.6 / 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MITSUBISHI - Continuación Mirage 1.8;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MITSUBISHI - Continuación Pajero io 1.6  (4G18) / 1.8 (4G93);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN New  Sentra ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN Sentra 1.6 16v (GA 16 DE);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;NISSAN Sunny B14 ;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;TOYOTA Corolla 1.6 (4A-FE)4WD/ 1.8 16v;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;CHRYSLER (DODGE / JEEP) Caravan 2.4;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;CHRYSLER (DODGE / JEEP) Dakota 2.5L / 3.9 V6 / Ram;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;Rocky F85/V Sirion 1.0;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Accent 1.3 / 1.5 12v SOHC GL / GLS;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Scoupe 1.5 (Excepto G4DR);;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;HYUNDAI Tiburón 1.6;;;;None.jpg
Bujia de encendido;NGK; - BKR5E-11 - BKR5EGP - BKR5EIX-11;MAZDA - Continuación Lantis 1.6 (Z6D);;;;None.jpg
